"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-01","9.84",",,W",,,"0.25",",,W,2400","5.9",",,W","5.1",",,W","19","H,,S","21",",,W","18",",,W","   60",",,W","  270",",,W",,,"18.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-02","20.36",",,W",,,"0.29",",,W,2400","5.9",",,W","7.1",",,W","17","H,,S","18",",,W","10",",,W","   40",",,W","   40",",,W",,,"29.1",",,W","38.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-03","8.28",",,W",,,"0.00","T,,W,2400","0.0","T,,W","7.9",",,W","9","H,,S","13",",,W","6",",,W","   10",",,W","  180",",,W",,,"21.0",",,W","28.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-04","19.01",",,W",,,"0.00",",,W,2400","0.0",",,W","5.9",",,W","20","H,,S","35",",,W","13",",,W","  190",",,W","  180",",,W",,,"29.1",",,W","44.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-05","6.49",",,W",,,"0.41",",,W,2400","0.0",",,W","5.1",",,W","35","H,,S","46",",,W","32",",,W","  170",",,W","  170",",,W",,,"18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-06","19.69",",,W",,,"0.19",",,W,2400","1.8",",,W","2.0",",,W","25","H,,S","48",",,W","-9",",,W","  250",",,W","  260",",,W",,,"31.1",",,W","44.1",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-07","19.01",",,W",,,"0.00","T,,W,2400","0.0","T,,W","2.0",",,W","-4","H,,S","4",",,W","-10",",,W","  210",",,W","  200",",,W",,,"31.1",",,W","42.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-08","10.07",",,W",,,"0.00","T,,W,2400","0.2",",,W","2.0",",,W","9","H,,S","20",",,W","4",",,W","  210",",,W","  210",",,W",,,"18.1",",,W","25.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-09","4.25",",,W",,,"0.01",",,W,2400","0.3",",,W","2.0",",,W","20","H,,S","31",",,W","11",",,W","  180",",,W","  180",",,W",,,"12.1",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-10","11.41",",,W",,,"0.14",",,W,2400","1.0",",,W","3.1",",,W","34","H,,S","45",",,W","31",",,W","  160",",,W","  160",",,W",,,"23.9",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,,
